,altname,wsname,aclass_base,base,aclass_quote,quote,lot,cost_decimals,pair_decimals,lot_decimals,lot_multiplier,leverage_buy,leverage_sell,fees,fees_maker,fee_volume_currency,margin_call,margin_stop,ordermin,costmin,tick_size,status,long_position_limit,short_position_limit
TRACUSD,TRACUSD,TRAC/USD,currency,TRAC,currency,ZUSD,unit5,8,4,5,1,[],[],"[[0, 0.4], [10000, 0.35], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.25], [10000, 0.2], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,8,0.5,0.0001,online,,
TREMPEUR,TREMPEUR,TREMP/EUR,currency,TREMP,currency,ZEUR,unit5,8,4,5,1,[],[],"[[0, 0.4], [10000, 0.35], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.25], [10000, 0.2], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,5,0.45,0.0001,online,,
TREMPUSD,TREMPUSD,TREMP/USD,currency,TREMP,currency,ZUSD,unit5,8,4,5,1,[],[],"[[0, 0.4], [10000, 0.35], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.25], [10000, 0.2], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,5,0.5,0.0001,online,,
TRUEUR,TRUEUR,TRU/EUR,currency,TRU,currency,ZEUR,unit,9,5,8,1,[],[],"[[0, 0.4], [10000, 0.35], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.25], [10000, 0.2], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,25,0.45,0.00001,online,,
TRUUSD,TRUUSD,TRU/USD,currency,TRU,currency,ZUSD,unit,9,5,8,1,[],[],"[[0, 0.4], [10000, 0.35], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.25], [10000, 0.2], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,25,0.5,0.00001,online,,
TRXETH,TRXETH,TRX/ETH,currency,TRX,currency,XETH,unit,10,8,8,1,"[2, 3]","[2, 3]","[[0, 0.4], [10000, 0.35], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.25], [10000, 0.2], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,45,0.0002,0.00000001,reduce_only,0.0,0.0
TRXEUR,TRXEUR,TRX/EUR,currency,TRX,currency,ZEUR,unit,7,6,8,1,"[2, 3]","[2, 3]","[[0, 0.4], [10000, 0.35], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.25], [10000, 0.2], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,45,0.45,0.000001,online,1100000.0,1300000.0
TRXUSD,TRXUSD,TRX/USD,currency,TRX,currency,ZUSD,unit,7,6,8,1,"[2, 3]","[2, 3]","[[0, 0.4], [10000, 0.35], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.25], [10000, 0.2], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,45,0.5,0.000001,online,1500000.0,1400000.0
TRXXBT,TRXXBT,TRX/XBT,currency,TRX,currency,XXBT,unit,10,10,8,1,"[2, 3]","[2, 3]","[[0, 0.4], [10000, 0.35], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.25], [10000, 0.2], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,45,0.00002,0.0000000001,online,700000.0,760000.0
TUSD,TUSD,T/USD,currency,T,currency,ZUSD,unit,7,5,8,1,[],[],"[[0, 0.4], [10000, 0.35], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.25], [10000, 0.2], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,180,0.5,0.00001,online,,
TUSDEUR,TUSDEUR,TUSD/EUR,currency,TUSD,currency,ZEUR,unit5,8,4,5,1,[],[],"[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.01], [100000000, 0.001]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,5,0.45,0.0001,online,,
TUSDUSD,TUSDUSD,TUSD/USD,currency,TUSD,currency,ZUSD,unit5,8,4,5,1,[],[],"[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.01], [100000000, 0.001]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,5,0.5,0.0001,online,,
TVKEUR,TVKEUR,TVK/EUR,currency,TVK,currency,ZEUR,unit,7,5,8,1,[],[],"[[0, 0.4], [10000, 0.35], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.25], [10000, 0.2], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,20,0.45,0.00001,online,,
TVKUSD,TVKUSD,TVK/USD,currency,TVK,currency,ZUSD,unit,7,5,8,1,[],[],"[[0, 0.4], [10000, 0.35], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.25], [10000, 0.2], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,20,0.5,0.00001,online,,
UMAEUR,UMAEUR,UMA/EUR,currency,UMA,currency,ZEUR,unit,5,3,8,1,[],[],"[[0, 0.4], [10000, 0.35], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.25], [10000, 0.2], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,1,0.45,0.001,online,,
UMAUSD,UMAUSD,UMA/USD,currency,UMA,currency,ZUSD,unit,5,3,8,1,[],[],"[[0, 0.4], [10000, 0.35], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.25], [10000, 0.2], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,1,0.5,0.001,online,,
UNFIEUR,UNFIEUR,UNFI/EUR,currency,UNFI,currency,ZEUR,unit,7,3,8,1,[],[],"[[0, 0.4], [10000, 0.35], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.25], [10000, 0.2], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.7,0.45,0.001,online,,
UNFIUSD,UNFIUSD,UNFI/USD,currency,UNFI,currency,ZUSD,unit,7,3,8,1,[],[],"[[0, 0.4], [10000, 0.35], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.25], [10000, 0.2], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.7,0.5,0.001,online,,
UNIETH,UNIETH,UNI/ETH,currency,UNI,currency,XETH,unit,7,5,8,1,[],[],"[[0, 0.4], [10000, 0.35], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.25], [10000, 0.2], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.5,0.0002,0.00001,online,,
UNIEUR,UNIEUR,UNI/EUR,currency,UNI,currency,ZEUR,unit,5,3,8,1,"[2, 3]","[2, 3]","[[0, 0.4], [10000, 0.35], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.25], [10000, 0.2], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.5,0.45,0.001,online,5000.0,4700.0
UNIUSD,UNIUSD,UNI/USD,currency,UNI,currency,ZUSD,unit,5,3,8,1,"[2, 3]","[2, 3]","[[0, 0.4], [10000, 0.35], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.25], [10000, 0.2], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.5,0.5,0.001,online,7900.0,12000.0
UNIXBT,UNIXBT,UNI/XBT,currency,UNI,currency,XXBT,unit,9,7,8,1,[],[],"[[0, 0.4], [10000, 0.35], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.25], [10000, 0.2], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.5,0.00002,0.0000001,online,,
USDCAUD,USDCAUD,USDC/AUD,currency,USDC,currency,ZAUD,unit,8,4,8,1,"[2, 3]","[2, 3]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.01], [100000000, 0.001]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,5,1,0.0001,online,120000.0,93000.0
USDCCAD,USDCCAD,USDC/CAD,currency,USDC,currency,ZCAD,unit,8,4,8,1,[],[],"[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.01], [100000000, 0.001]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,5,1,0.0001,online,,
USDCCHF,USDCCHF,USDC/CHF,currency,USDC,currency,CHF,unit,8,4,8,1,[],[],"[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.01], [100000000, 0.001]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,5,0.5,0.0001,online,,
USDCEUR,USDCEUR,USDC/EUR,currency,USDC,currency,ZEUR,unit,8,4,8,1,"[2, 3]","[2, 3]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.01], [100000000, 0.001]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,5,0.45,0.0001,online,1100000.0,800000.0
USDCGBP,USDCGBP,USDC/GBP,currency,USDC,currency,ZGBP,unit,8,4,8,1,"[2, 3]","[2, 3]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.01], [100000000, 0.001]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,5,0.43,0.0001,online,310000.0,210000.0
USDCHF,USDCHF,USD/CHF,currency,ZUSD,currency,CHF,unit,5,5,8,1,[],[],"[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.01], [100000000, 0.001]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,5,0.5,0.00001,online,,
USDCUSD,USDCUSD,USDC/USD,currency,USDC,currency,ZUSD,unit,8,4,8,1,"[2, 3]","[2, 3]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.01], [100000000, 0.001]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,5,0.5,0.0001,online,2700000.0,2400000.0
USDCUSDT,USDCUSDT,USDC/USDT,currency,USDC,currency,USDT,unit,8,4,8,1,"[2, 3, 4, 5]","[2, 3, 4, 5]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.01], [100000000, 0.001]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,5,0.5,0.0001,online,1950000.0,1700000.0
USDTAUD,USDTAUD,USDT/AUD,currency,USDT,currency,ZAUD,unit,6,4,8,1,"[2, 3, 4]","[2, 3, 4]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.01], [100000000, 0.001]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,10,1,0.0001,online,170000.0,300000.0
USDTCAD,USDTCAD,USDT/CAD,currency,USDT,currency,ZCAD,unit,8,4,8,1,"[2, 3, 4]","[2, 3, 4]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.01], [100000000, 0.001]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,10,1,0.0001,online,300000.0,610000.0
USDTCHF,USDTCHF,USDT/CHF,currency,USDT,currency,CHF,unit,6,5,8,1,"[2, 3, 4]","[2, 3, 4]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.01], [100000000, 0.001]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,10,0.5,0.00001,online,230000.0,380000.0
USDTEUR,USDTEUR,USDT/EUR,currency,USDT,currency,ZEUR,unit,8,4,8,1,"[2, 3]","[2, 3]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.01], [100000000, 0.001]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,10,0.45,0.0001,online,2800000.0,2000000.0
USDTGBP,USDTGBP,USDT/GBP,currency,USDT,currency,ZGBP,unit,8,4,8,1,"[2, 3, 4]","[2, 3, 4]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.01], [100000000, 0.001]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,10,0.43,0.0001,online,670000.0,570000.0
USDTJPY,USDTJPY,USDT/JPY,currency,USDT,currency,ZJPY,unit,6,3,8,1,"[2, 3]","[2, 3]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.01], [100000000, 0.001]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,10,50,0.001,online,48000.0,54000.0
USDTZUSD,USDTUSD,USDT/USD,currency,USDT,currency,ZUSD,unit,8,5,8,1,[2],[2],"[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.01], [100000000, 0.001]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.02], [10000000, 0.0], [100000000, 0.0]]",ZUSD,80,40,10,0.5,0.00001,online,3200000.0,4600000.0
USTEUR,USTEUR,UST/EUR,currency,UST,currency,ZEUR,unit,6,5,8,1,[],[],"[[0, 0.4], [10000, 0.35], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.25], [10000, 0.2], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,175,0.45,0.00001,online,,
USTUSD,USTUSD,UST/USD,currency,UST,currency,ZUSD,unit,6,5,8,1,[],[],"[[0, 0.4], [10000, 0.35], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.25], [10000, 0.2], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,175,0.5,0.00001,online,,
USTUSDC,USTUSDC,UST/USDC,currency,UST,currency,USDC,unit,6,5,8,1,[],[],"[[0, 0.4], [10000, 0.35], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.25], [10000, 0.2], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,175,0.5,0.00001,online,,
